"region","år","fastighetstyp",Köpeskilling för småhus, medelvärde i tkr
"0191 Sigtuna","2014","permanentbostad (ej tomträtt)",3554
"0191 Sigtuna","2015","permanentbostad (ej tomträtt)",3941
"0191 Sigtuna","2016","permanentbostad (ej tomträtt)",4378
"0191 Sigtuna","2017","permanentbostad (ej tomträtt)",4605
"0192 Nynäshamn","2012","permanentbostad (ej tomträtt)",2376
"0192 Nynäshamn","2013","permanentbostad (ej tomträtt)",2499
"0192 Nynäshamn","2014","permanentbostad (ej tomträtt)",2724
"0192 Nynäshamn","2015","permanentbostad (ej tomträtt)",2788
"0192 Nynäshamn","2016","permanentbostad (ej tomträtt)",3353
"0192 Nynäshamn","2017","permanentbostad (ej tomträtt)",3646
"0305 Håbo","2012","permanentbostad (ej tomträtt)",2301
"0305 Håbo","2013","permanentbostad (ej tomträtt)",2337
"0305 Håbo","2014","permanentbostad (ej tomträtt)",2537
"0305 Håbo","2015","permanentbostad (ej tomträtt)",2891
"0305 Håbo","2016","permanentbostad (ej tomträtt)",3186
"0305 Håbo","2017","permanentbostad (ej tomträtt)",3612
"0319 Älvkarleby","2012","permanentbostad (ej tomträtt)",1003
"0319 Älvkarleby","2013","permanentbostad (ej tomträtt)",987
"0319 Älvkarleby","2014","permanentbostad (ej tomträtt)",972
"0319 Älvkarleby","2015","permanentbostad (ej tomträtt)",1275
"0319 Älvkarleby","2016","permanentbostad (ej tomträtt)",1302
"0319 Älvkarleby","2017","permanentbostad (ej tomträtt)",1400
"0330 Knivsta","2012","permanentbostad (ej tomträtt)",2898
"0330 Knivsta","2013","permanentbostad (ej tomträtt)",3165
"0330 Knivsta","2014","permanentbostad (ej tomträtt)",3396
"0330 Knivsta","2015","permanentbostad (ej tomträtt)",3659
"0330 Knivsta","2016","permanentbostad (ej tomträtt)",4022
"0330 Knivsta","2017","permanentbostad (ej tomträtt)",4280
"0331 Heby","2012","permanentbostad (ej tomträtt)",977
"0331 Heby","2013","permanentbostad (ej tomträtt)",1040
"0331 Heby","2014","permanentbostad (ej tomträtt)",1066
